Restaurant ID,Restaurant Name,City,State,Owner Name,Veg or Non-Veg
RES0001,Tandoor Treats 1,Ahmedabad,Gujarat,Neha Pandey,Veg
RES0002,Zaika 2,Guntur,Andhra Pradesh,Deepak Agarwal,Non-Veg
RES0003,Bistro India 3,Kota,Rajasthan,Rajesh Kumar,Both
RES0004,Desi Bites 4,Patiala,Punjab,Rita Kapoor,Non-Veg
RES0005,Chaat House 5,Patna,Bihar,Rajesh Kumar,Non-Veg
RES0006,Grill & Curry 6,Visakhapatnam,Andhra Pradesh,Pooja Verma,Non-Veg
RES0007,Southern Flavours 7,Vijayawada,Andhra Pradesh,Rajesh Kumar,Veg
RES0008,Taste Buds 8,Nizamabad,Telangana,Neha Pandey,Non-Veg
RES0009,Chaat House 9,Patna,Bihar,Pooja Verma,Veg
RES0010,Grill & Curry 10,Siliguri,West Bengal,Rajesh Kumar,Both
RES0011,Bistro India 11,Mangalore,Karnataka,Pooja Verma,Both
RES0012,Dilli Darbar 12,New Delhi,Delhi,Suresh Gupta,Both
RES0013,Urban Curry House 13,Kolkata,West Bengal,Anil Sharma,Non-Veg
RES0014,The Curry House 14,Lucknow,Uttar Pradesh,Neha Pandey,Both
RES0015,Tandoori House 15,Surat,Gujarat,Vikram Mehta,Veg
RES0016,Indian Masala 16,Kanpur,Uttar Pradesh,Rita Kapoor,Non-Veg
RES0017,Annapurna Bhavan 17,Muzaffarpur,Bihar,Anil Sharma,Both
RES0018,The Veggie Delight 18,Amritsar,Punjab,Rajesh Kumar,Non-Veg
RES0019,Swaad Sagar 19,Chennai,Tamil Nadu,Sanjay Rao,Both
RES0020,Rajasthan Royals 20,Mysore,Karnataka,Anil Sharma,Veg
RES0021,Bombay Bites 21,Gaya,Bihar,Neha Pandey,Both
RES0022,South Indian Spice 22,Nashik,Maharashtra,Anita Singh,Veg
RES0023,Veggie Hut 23,Vadodara,Gujarat,Anita Singh,Both
RES0024,Chopsticks & Curry 24,Agra,Uttar Pradesh,Sanjay Rao,Non-Veg
RES0025,Royal Dine 25,Amritsar,Punjab,Suresh Gupta,Non-Veg
RES0026,Saravana Bhavan 26,New Delhi,Delhi,Anil Sharma,Veg
RES0027,Rasoi Royale 27,Lucknow,Uttar Pradesh,Sanjay Rao,Non-Veg
RES0028,Bistro India 28,Vadodara,Gujarat,Pooja Verma,Non-Veg
RES0029,Chaat Bazaar 29,Warangal,Telangana,Vikram Mehta,Veg
RES0030,Biryani Junction 30,Mumbai,Maharashtra,Vikram Mehta,Non-Veg
RES0031,Saffron Spice 31,Amritsar,Punjab,Anita Singh,Non-Veg
RES0032,Tandoori Flames 32,Siliguri,West Bengal,Suresh Gupta,Non-Veg
RES0033,The Veggie Delight 33,Kanpur,Uttar Pradesh,Vikram Mehta,Non-Veg
RES0034,Nizam’s Feast 34,Nashik,Maharashtra,Anil Sharma,Both
RES0035,Taste of India 35,Madurai,Tamil Nadu,Vikram Mehta,Veg
RES0036,Rajma Roti 36,Thrissur,Kerala,Rajesh Kumar,Both
RES0037,The Curry House 37,Pune,Maharashtra,Deepak Agarwal,Both
RES0038,Spice Junction 38,Hubli,Karnataka,Deepak Agarwal,Veg
RES0039,Tikka Nation 39,Madurai,Tamil Nadu,Rajesh Kumar,Both
RES0040,Thali Palace 40,Amritsar,Punjab,Deepak Agarwal,Non-Veg
RES0041,Spice Junction 41,Mangalore,Karnataka,Pooja Verma,Both
RES0042,Royal Dine 42,Varanasi,Uttar Pradesh,Neha Pandey,Veg
RES0043,The Kebab Factory 43,Khammam,Telangana,Neha Pandey,Both
RES0044,Tandoor Treats 44,Khammam,Telangana,Rajesh Kumar,Non-Veg
RES0045,Biryani Junction 45,Pune,Maharashtra,Rajesh Kumar,Both
RES0046,Flavours of Punjab 46,Khammam,Telangana,Anita Singh,Non-Veg
RES0047,Veggie Hut 47,Vijayawada,Andhra Pradesh,Anil Sharma,Non-Veg
RES0048,Zaika 48,Pune,Maharashtra,Sanjay Rao,Veg
RES0049,Shahi Zayka 49,Visakhapatnam,Andhra Pradesh,Deepak Agarwal,Veg
RES0050,Paneer Paradise 50,Mangalore,Karnataka,Pooja Verma,Veg
RES0051,Chaat House 51,Chennai,Tamil Nadu,Vikram Mehta,Both
RES0052,Bombay Bites 52,Pune,Maharashtra,Rita Kapoor,Non-Veg
RES0053,Rajasthan Royals 53,Lucknow,Uttar Pradesh,Anil Sharma,Both
RES0054,Biryani Hub 54,Vadodara,Gujarat,Anil Sharma,Non-Veg
RES0055,Spicy Treat 55,Nagpur,Maharashtra,Vikram Mehta,Veg
RES0056,Urban Curry House 56,Patiala,Punjab,Rajesh Kumar,Non-Veg
RES0057,Biryani Hub 57,Hubli,Karnataka,Suresh Gupta,Non-Veg
RES0058,The Curry Pot 58,Hyderabad,Telangana,Deepak Agarwal,Both
RES0059,Royal Rasoi 59,Mumbai,Maharashtra,Rita Kapoor,Non-Veg
RES0060,Biryani Junction 60,Amritsar,Punjab,Pooja Verma,Non-Veg
RES0061,Flavours of Punjab 61,Ludhiana,Punjab,Suresh Gupta,Non-Veg
RES0062,Taste of India 62,Gaya,Bihar,Anil Sharma,Veg
RES0063,Urban Curry House 63,Bhagalpur,Bihar,Neha Pandey,Both
RES0064,Mughlai Feast 64,Nellore,Andhra Pradesh,Rajesh Kumar,Veg
RES0065,Rajasthan Royals 65,Lucknow,Uttar Pradesh,Sanjay Rao,Both
RES0066,Dilli Spice 66,Vadodara,Gujarat,Suresh Gupta,Veg
RES0067,Taste Buds 67,Kota,Rajasthan,Rajesh Kumar,Non-Veg
RES0068,Curry Cafe 68,Ludhiana,Punjab,Sanjay Rao,Non-Veg
RES0069,The Kebab Factory 69,Chennai,Tamil Nadu,Anita Singh,Veg
RES0070,Rasoi Royale 70,Tiruchirappalli,Tamil Nadu,Deepak Agarwal,Both
RES0071,Dilli Darbar 71,Patiala,Punjab,Pooja Verma,Non-Veg
RES0072,Bombay Masala 72,Agra,Uttar Pradesh,Suresh Gupta,Non-Veg
RES0073,Tikka Nation 73,Madurai,Tamil Nadu,Sanjay Rao,Veg
RES0074,Nizam’s Feast 74,Surat,Gujarat,Rita Kapoor,Veg
RES0075,The Kebab Factory 75,Tiruchirappalli,Tamil Nadu,Pooja Verma,Both
RES0076,Punjabi Dhaba 76,Durgapur,West Bengal,Rita Kapoor,Non-Veg
RES0077,Pind Punjab 77,Kolkata,West Bengal,Deepak Agarwal,Veg
RES0078,The Veggie Delight 78,Mangalore,Karnataka,Rajesh Kumar,Veg
RES0079,Tikka Nation 79,Patna,Bihar,Sanjay Rao,Both
RES0080,Punjabi Dhaba 80,Lucknow,Uttar Pradesh,Neha Pandey,Veg
RES0081,Urban Curry House 81,Bhagalpur,Bihar,Neha Pandey,Non-Veg
RES0082,Urban Curry House 82,Patna,Bihar,Anil Sharma,Veg
RES0083,Shahi Zayka 83,New Delhi,Delhi,Pooja Verma,Non-Veg
RES0084,Biryani Bowl 84,Kota,Rajasthan,Rajesh Kumar,Veg
RES0085,Mughlai Feast 85,Rajkot,Gujarat,Anita Singh,Veg
RES0086,Flavours of Punjab 86,Kanpur,Uttar Pradesh,Rita Kapoor,Both
RES0087,The Curry Pot 87,Thrissur,Kerala,Vikram Mehta,Both
RES0088,South Indian Spice 88,Jodhpur,Rajasthan,Deepak Agarwal,Veg
RES0089,Southern Flavours 89,Ludhiana,Punjab,Anil Sharma,Veg
RES0090,Curry Cafe 90,New Delhi,Delhi,Vikram Mehta,Non-Veg
RES0091,Gravy Villa 91,Jodhpur,Rajasthan,Rita Kapoor,Veg
RES0092,Pind Punjab 92,Durgapur,West Bengal,Rita Kapoor,Both
RES0093,South Indian Spice 93,Gaya,Bihar,Suresh Gupta,Non-Veg
RES0094,Paneer Paradise 94,Hyderabad,Telangana,Pooja Verma,Non-Veg
RES0095,Swaad Sagar 95,Mangalore,Karnataka,Vikram Mehta,Veg
RES0096,South Indian Spice 96,Varanasi,Uttar Pradesh,Vikram Mehta,Both
RES0097,Paneer Paradise 97,Visakhapatnam,Andhra Pradesh,Anil Sharma,Veg
RES0098,Desi Bites 98,Madurai,Tamil Nadu,Anil Sharma,Both
RES0099,Veggie Hut 99,Surat,Gujarat,Sanjay Rao,Non-Veg
RES0100,Taste Buds 100,Tiruchirappalli,Tamil Nadu,Pooja Verma,Both
RES0101,Chopsticks & Curry 101,Nizamabad,Telangana,Neha Pandey,Both
RES0102,Royal Rasoi 102,Kozhikode,Kerala,Sanjay Rao,Non-Veg
RES0103,Biryani Hub 103,Surat,Gujarat,Rajesh Kumar,Non-Veg
RES0104,Mirchi Masala 104,Mangalore,Karnataka,Deepak Agarwal,Non-Veg
RES0105,Swaad Sagar 105,Muzaffarpur,Bihar,Anita Singh,Veg
RES0106,Spice Junction 106,Madurai,Tamil Nadu,Pooja Verma,Both
RES0107,Curry Cafe 107,Khammam,Telangana,Rita Kapoor,Non-Veg
RES0108,Paneer Paradise 108,Ludhiana,Punjab,Rita Kapoor,Non-Veg
RES0109,The Curry House 109,New Delhi,Delhi,Rajesh Kumar,Both
RES0110,Bombay Bites 110,Kanpur,Uttar Pradesh,Vikram Mehta,Both
RES0111,Spicy Treat 111,Jodhpur,Rajasthan,Pooja Verma,Veg
RES0112,Swaad Sagar 112,Khammam,Telangana,Anita Singh,Veg
RES0113,Bombay Bites 113,New Delhi,Delhi,Anita Singh,Veg
RES0114,Mughlai Feast 114,Vijayawada,Andhra Pradesh,Pooja Verma,Non-Veg
RES0115,Taste of India 115,New Delhi,Delhi,Suresh Gupta,Non-Veg
RES0116,Saravana Bhavan 116,Khammam,Telangana,Anita Singh,Both
RES0117,Biryani Junction 117,Gaya,Bihar,Suresh Gupta,Both
RES0118,Paneer Paradise 118,Jodhpur,Rajasthan,Deepak Agarwal,Veg
RES0119,Tikka Nation 119,Jodhpur,Rajasthan,Anil Sharma,Non-Veg
RES0120,Tandoori Flames 120,Varanasi,Uttar Pradesh,Pooja Verma,Veg
RES0121,Chaat House 121,Nagpur,Maharashtra,Deepak Agarwal,Veg
RES0122,Tikka Nation 122,New Delhi,Delhi,Suresh Gupta,Veg
RES0123,The Veggie Delight 123,Bhagalpur,Bihar,Rajesh Kumar,Veg
RES0124,Masala Magic 124,Gaya,Bihar,Pooja Verma,Both
RES0125,Kebab Kulture 125,Khammam,Telangana,Vikram Mehta,Veg
RES0126,Curry Cafe 126,Nagpur,Maharashtra,Anil Sharma,Both
RES0127,Tandoori Flames 127,Howrah,West Bengal,Anil Sharma,Both
RES0128,Swaad Sagar 128,Hubli,Karnataka,Deepak Agarwal,Veg
RES0129,Desi Bites 129,Tiruchirappalli,Tamil Nadu,Rita Kapoor,Non-Veg
RES0130,Mirchi Masala 130,Muzaffarpur,Bihar,Rita Kapoor,Both
RES0131,Taste Buds 131,Mysore,Karnataka,Pooja Verma,Both
RES0132,Dosa Corner 132,Patna,Bihar,Anil Sharma,Both
RES0133,The Curry House 133,Khammam,Telangana,Anil Sharma,Veg
RES0134,Rasoi Royale 134,Nagpur,Maharashtra,Anil Sharma,Non-Veg
RES0135,Tandoori House 135,Bangalore,Karnataka,Deepak Agarwal,Veg
RES0136,Mughlai Feast 136,Nellore,Andhra Pradesh,Pooja Verma,Non-Veg
RES0137,Indian Masala 137,Guntur,Andhra Pradesh,Suresh Gupta,Non-Veg
RES0138,Kebab Kulture 138,Nashik,Maharashtra,Vikram Mehta,Veg
RES0139,Gravy Villa 139,Hubli,Karnataka,Rajesh Kumar,Both
RES0140,Thali Palace 140,Siliguri,West Bengal,Anil Sharma,Non-Veg
RES0141,South Indian Spice 141,New Delhi,Delhi,Anita Singh,Both
RES0142,The Curry House 142,Pune,Maharashtra,Rajesh Kumar,Both
RES0143,Biryani Hub 143,Jalandhar,Punjab,Vikram Mehta,Veg
RES0144,Royal Dine 144,Mangalore,Karnataka,Pooja Verma,Non-Veg
RES0145,Taste Buds 145,Chennai,Tamil Nadu,Sanjay Rao,Non-Veg
RES0146,The Curry Pot 146,Coimbatore,Tamil Nadu,Vikram Mehta,Non-Veg
RES0147,Punjabi Dhaba 147,Kanpur,Uttar Pradesh,Anita Singh,Both
RES0148,Chole Bhature Corner 148,Surat,Gujarat,Rajesh Kumar,Non-Veg
RES0149,Royal Rasoi 149,Mangalore,Karnataka,Pooja Verma,Veg
RES0150,Mughlai Feast 150,Jalandhar,Punjab,Pooja Verma,Both
RES0151,Bombay Masala 151,Varanasi,Uttar Pradesh,Vikram Mehta,Both
RES0152,Royal Rasoi 152,Kanpur,Uttar Pradesh,Anita Singh,Non-Veg
RES0153,Kebab Kulture 153,Hyderabad,Telangana,Rita Kapoor,Non-Veg
RES0154,Chaat House 154,Lucknow,Uttar Pradesh,Deepak Agarwal,Both
RES0155,Royal Rasoi 155,Varanasi,Uttar Pradesh,Anil Sharma,Veg
RES0156,Saffron Spice 156,Chennai,Tamil Nadu,Deepak Agarwal,Veg
RES0157,South Indian Spice 157,New Delhi,Delhi,Rajesh Kumar,Non-Veg
RES0158,Saravana Bhavan 158,Visakhapatnam,Andhra Pradesh,Pooja Verma,Veg
RES0159,Biryani Hub 159,Kanpur,Uttar Pradesh,Vikram Mehta,Non-Veg
RES0160,Spicy Treat 160,Amritsar,Punjab,Sanjay Rao,Non-Veg
RES0161,Dosa Corner 161,Mysore,Karnataka,Vikram Mehta,Both
RES0162,Punjabi Dhaba 162,New Delhi,Delhi,Sanjay Rao,Veg
RES0163,Chopsticks & Curry 163,Ahmedabad,Gujarat,Deepak Agarwal,Both
RES0164,Rajma Roti 164,Madurai,Tamil Nadu,Vikram Mehta,Non-Veg
RES0165,The Curry House 165,New Delhi,Delhi,Pooja Verma,Both
RES0166,Spicy Treat 166,Gaya,Bihar,Anil Sharma,Veg
RES0167,Spicy Treat 167,Vadodara,Gujarat,Anil Sharma,Both
RES0168,Veggie Hut 168,Kochi,Kerala,Anil Sharma,Non-Veg
RES0169,Spicy Treat 169,Bangalore,Karnataka,Anil Sharma,Both
RES0170,Urban Curry House 170,Coimbatore,Tamil Nadu,Pooja Verma,Non-Veg
RES0171,Biryani Bowl 171,Bhagalpur,Bihar,Rajesh Kumar,Non-Veg
RES0172,Paneer Paradise 172,Thiruvananthapuram,Kerala,Vikram Mehta,Veg
RES0173,Bombay Bites 173,Bhagalpur,Bihar,Sanjay Rao,Both
RES0174,Biryani Hub 174,Hyderabad,Telangana,Anita Singh,Veg
RES0175,Biryani Bowl 175,Ludhiana,Punjab,Pooja Verma,Veg
RES0176,Dosa Corner 176,Patiala,Punjab,Suresh Gupta,Both
RES0177,Saravana Bhavan 177,Siliguri,West Bengal,Vikram Mehta,Non-Veg
RES0178,Paneer Paradise 178,Madurai,Tamil Nadu,Sanjay Rao,Non-Veg
RES0179,Taste Buds 179,Surat,Gujarat,Rita Kapoor,Both
RES0180,Grill & Curry 180,Gaya,Bihar,Neha Pandey,Both
RES0181,Dilli Spice 181,Patiala,Punjab,Rita Kapoor,Non-Veg
RES0182,Royal Dine 182,Jalandhar,Punjab,Anil Sharma,Veg
RES0183,Swaad Sagar 183,Nashik,Maharashtra,Vikram Mehta,Both
RES0184,Chaat Bazaar 184,Guntur,Andhra Pradesh,Rajesh Kumar,Non-Veg
RES0185,The Curry House 185,Madurai,Tamil Nadu,Rajesh Kumar,Veg
RES0186,Dilli Darbar 186,Jodhpur,Rajasthan,Neha Pandey,Non-Veg
RES0187,Spicy Treat 187,Muzaffarpur,Bihar,Rita Kapoor,Veg
RES0188,Punjabi Dhaba 188,Vijayawada,Andhra Pradesh,Vikram Mehta,Veg
RES0189,South Indian Spice 189,Ahmedabad,Gujarat,Deepak Agarwal,Veg
RES0190,Dosa Corner 190,Thrissur,Kerala,Vikram Mehta,Both
RES0191,Bistro India 191,Guntur,Andhra Pradesh,Pooja Verma,Veg
RES0192,Desi Bites 192,New Delhi,Delhi,Rajesh Kumar,Both
RES0193,Saffron Spice 193,Kochi,Kerala,Pooja Verma,Both
RES0194,Rajma Roti 194,Khammam,Telangana,Vikram Mehta,Veg
RES0195,Rajasthan Royals 195,Lucknow,Uttar Pradesh,Suresh Gupta,Non-Veg
RES0196,Curry Cafe 196,New Delhi,Delhi,Neha Pandey,Non-Veg
RES0197,Bombay Bites 197,Udaipur,Rajasthan,Vikram Mehta,Veg
RES0198,Tandoori House 198,Mumbai,Maharashtra,Sanjay Rao,Non-Veg
RES0199,Royal Dine 199,Gaya,Bihar,Rita Kapoor,Non-Veg
RES0200,Mirchi Masala 200,Chennai,Tamil Nadu,Suresh Gupta,Non-Veg
RES0201,The Kebab Factory 201,New Delhi,Delhi,Anita Singh,Non-Veg
RES0202,Saravana Bhavan 202,Kota,Rajasthan,Suresh Gupta,Both
RES0203,Kebab Kulture 203,Kochi,Kerala,Anil Sharma,Non-Veg
RES0204,Tikka Nation 204,Bhagalpur,Bihar,Suresh Gupta,Non-Veg
RES0205,Taste Buds 205,Nashik,Maharashtra,Pooja Verma,Both
RES0206,Gravy Villa 206,Bhagalpur,Bihar,Pooja Verma,Veg
RES0207,Pind Punjab 207,Udaipur,Rajasthan,Pooja Verma,Non-Veg
RES0208,Urban Curry House 208,Vijayawada,Andhra Pradesh,Suresh Gupta,Both
RES0209,Dilli Darbar 209,Kota,Rajasthan,Rita Kapoor,Veg
RES0210,The Curry House 210,Khammam,Telangana,Anita Singh,Both
RES0211,The Curry House 211,Agra,Uttar Pradesh,Suresh Gupta,Both
RES0212,Taste Buds 212,Tiruchirappalli,Tamil Nadu,Rita Kapoor,Veg
RES0213,Taste Buds 213,Jodhpur,Rajasthan,Sanjay Rao,Both
RES0214,Indian Masala 214,Thiruvananthapuram,Kerala,Pooja Verma,Non-Veg
RES0215,Bistro India 215,Khammam,Telangana,Pooja Verma,Both
RES0216,Mirchi Masala 216,Siliguri,West Bengal,Rajesh Kumar,Veg
RES0217,South Indian Spice 217,Thrissur,Kerala,Neha Pandey,Veg
RES0218,Spicy Treat 218,Gaya,Bihar,Suresh Gupta,Both
RES0219,Chole Bhature Corner 219,Udaipur,Rajasthan,Sanjay Rao,Non-Veg
RES0220,Taste Buds 220,Coimbatore,Tamil Nadu,Anita Singh,Veg
RES0221,Dosa Corner 221,Nellore,Andhra Pradesh,Deepak Agarwal,Both
RES0222,Bistro India 222,Vadodara,Gujarat,Anita Singh,Non-Veg
RES0223,Paneer Paradise 223,Muzaffarpur,Bihar,Anita Singh,Non-Veg
RES0224,Tandoori House 224,Howrah,West Bengal,Suresh Gupta,Veg
RES0225,Annapurna Bhavan 225,Kochi,Kerala,Rajesh Kumar,Non-Veg
RES0226,Bombay Bites 226,Kochi,Kerala,Rita Kapoor,Non-Veg
RES0227,The Veggie Delight 227,Pune,Maharashtra,Sanjay Rao,Both
RES0228,Chaat House 228,Mysore,Karnataka,Rajesh Kumar,Veg
RES0229,Chaat House 229,Vijayawada,Andhra Pradesh,Pooja Verma,Both
RES0230,Zaika 230,Gaya,Bihar,Deepak Agarwal,Non-Veg
RES0231,Urban Curry House 231,Surat,Gujarat,Sanjay Rao,Non-Veg
RES0232,Rajma Roti 232,Udaipur,Rajasthan,Rajesh Kumar,Veg
RES0233,Nizam’s Feast 233,Nellore,Andhra Pradesh,Vikram Mehta,Both
RES0234,Masala Magic 234,Chennai,Tamil Nadu,Pooja Verma,Both
RES0235,Bistro India 235,Kolkata,West Bengal,Vikram Mehta,Non-Veg
RES0236,Spice Junction 236,Howrah,West Bengal,Neha Pandey,Non-Veg
RES0237,Saffron Spice 237,Durgapur,West Bengal,Anil Sharma,Both
RES0238,Bombay Masala 238,Kochi,Kerala,Vikram Mehta,Non-Veg
RES0239,Urban Curry House 239,Lucknow,Uttar Pradesh,Neha Pandey,Non-Veg
RES0240,Saravana Bhavan 240,Bhagalpur,Bihar,Anita Singh,Non-Veg
RES0241,The Curry House 241,Gaya,Bihar,Anil Sharma,Veg
RES0242,Urban Curry House 242,New Delhi,Delhi,Anita Singh,Veg
RES0243,Chole Bhature Corner 243,Thiruvananthapuram,Kerala,Vikram Mehta,Both
RES0244,Gravy Villa 244,Jalandhar,Punjab,Neha Pandey,Both
RES0245,Biryani Junction 245,Nagpur,Maharashtra,Deepak Agarwal,Both
RES0246,Mirchi Masala 246,Madurai,Tamil Nadu,Sanjay Rao,Veg
RES0247,Rajma Roti 247,Jodhpur,Rajasthan,Deepak Agarwal,Veg
RES0248,Chaat Bazaar 248,Surat,Gujarat,Sanjay Rao,Veg
RES0249,Saravana Bhavan 249,Vijayawada,Andhra Pradesh,Neha Pandey,Non-Veg
RES0250,Rajma Roti 250,Tiruchirappalli,Tamil Nadu,Suresh Gupta,Both
